ISIN,Name,EOD Ticker,Ticker Type,Description,Company URL
DE000A3E5E55,Ringmetall SE,HP3A.XETRA,Common Stock,"Ringmetall SE develops, produces, and markets packaging solutions for industrial drums in Germany and internationally. The company operates through Industrial Packaging and Industrial Handling segments. The Industrial Packaging segment develops, produces, and markets packaging products for the drum industry. This segment also offers industrial drums, clamping rings, lids, seals, and handles. The Industrial Handling segment produces and markets welded assemblies, trailer coupling systems, hydraulic components, lift mast parts, clutch and brake pedals for tractors and trucks, as well as vehicle attachments and special vehicle components for freight and warehouse logistics. It also offers pipes and pipe connections; inner liners, bag-in-box system, clamping rings, and lids. In addition, the company provides trailer couplings for tractors, agricultural machinery and truck, restraint systems for industrial truck. The company serves automotive, food and beverage, chemical, petrochemical, pharmaceutical, oil and gas, building and construction, agricultural, warehouse logistics, and other industries. Ringmetall SE was incorporated in 1997 and is headquartered in Munich, Germany.",https://ringmetall.de
DE0006214687,Müller - Die lila Logistik AG,MLL.XETRA,Common Stock,"Müller - Die lila Logistik SE provides logistics services in Germany. The company operates through Lila Operating and Lila Real Estate segments. It offers logistics solutions, such as delivery, warehousing, and assembling; and real estate space for the provision of services, including development, building, managing, and optimizing. The company serves automotive, medical and pharma, consumer goods, industrial, and electronics. Müller - Die lila Logistik SE was founded in 1991 and is headquartered in Besigheim, Germany.",https://www.lila-logistik.com/de
DE000ZAL1111,Zalando SE,ZAL.XETRA,Common Stock,"Zalando SE operates an online platform for fashion and lifestyle products. The company operates through Fashion Store and Offprice segments. It provides shoes, apparel, accessories, and beauty products with free delivery and returns, as well as various payment options. The company also sells its products through Lounge by Zalando; and brick-and-mortar outlet stores. It operates in Germany, Austria, Switzerland, Belgium, Croatia, the Czech Republic, Denmark, Estonia, Finland, Hungary, France, Ireland, Italy, Latvia, Lithuania, Luxembourg, the Netherlands, Norway, Poland, Romania, Slovakia, Slovenia, Spain, Sweden, and the United Kingdom. The company was founded in 2008 and is headquartered in Berlin, Germany.",https://corporate.zalando.de
DE0006627201,Mühlbauer Holding AG,MUB.XETRA,Common Stock,"Mühlbauer Holding AG engages in the production and personalization of smart cards, passports, solar cells, and RFID solutions in Germany, rest of Europe, Asia, the United States, Africa, and internationally. The company is involved in sorting of microchips, carrier tape systems and automation, labeling and traceability systems; manufacturing and sales of high-precision components; and provision of semiconductor related products, such as die sorting, carrier tapes, flip chips for LED, RFID/SMART labels, flexible solar technology, and multicomponent flexible electronic, as well as vision inspection products, including TEMA security inspection and TEMA industrial inspection equipment. It also offers consumables; accessories, such as map measuring stations, UV-lamps, thread counters, color fans, tool trollies, and cardboard cartons for cards; support services; and develops various official and industry-specific software solutions. In addition, the company offers emobility, flexible solar, and flexible electronics solutions; and ID card, e-passport, driver's license and vehicle registration, border control and verification of documents, e-government, production facility, and public administration software solutions. Mühlbauer Holding AG was founded in 1981 and is headquartered in Roding, Germany.",https://www.muehlbauer.de
DE000WCH8881,Wacker Chemie AG,WCH.XETRA,Common Stock,"Wacker Chemie AG, together with its subsidiaries, provides chemical products worldwide. It operates through four divisions: Wacker Silicones, Wacker Polymers, Wacker Biosolutions, and Wacker Polysilicon. The Wacker Silicones division offers silanes, siloxanes, silicone fluids, silicone emulsions, silicone elastomers, silicone resins, and pyrogenic silica. The Wacker Polymers division provides binders and polymeric additives, such as dispersible polymer powder and vinyl acetate-ethylene dispersions, which are used in construction, paper, adhesive, paint, coating, and basic chemical industries. The Wacker Biosolutions division offers customized biotech and catalog products for fine chemicals, such as pharmaceutical proteins, vaccines, cyclodextrins, cysteine, polyvinyl acetate solid resins, and acetylacetone for pharmaceutical actives, food additives, and agrochemicals. The Wacker Polysilicon division produces hyperpure polysilicon for use in semiconductor and solar sectors. Wacker Chemie AG was founded in 1914 and is headquartered in Munich, Germany. Wacker Chemie AG operates as a subsidiary of Dr. Alexander Wacker Familiengesellschaft mbH.",https://www.wacker.com
DE0005774103,FORTEC Elektronik AG,FEV.F,Common Stock,"FORTEC Elektronik AG provides components and systems in the areas of display technology, embedded systems, and power supplies in Germany and internationally. It operates through two segments, Data Visualisation and Power Supplies. The Data Visualisation segment offers standard kits and support services to product solutions with access to TFT controller and drive solutions developed in-house, as well as generation of optical bonding technology. The Power Supplies segment provides power supplies and DC/DC convertors. The company was founded in 1984 and is based in Germering, Germany.",https://www.fortecag.de
DE000A2E4SV8,Cyan AG,CYR.XETRA,Common Stock,"cyan AG, through its subsidiaries, provides cybersecurity solutions and telecommunication services in Europe, the Middle East, Africa, and the Asia-Pacific. It provides OnNet Security, a network integrated cybersecurity solution; OnDevice Security solution that offers tools for safe digital experiences; and Child Protection solutions for safe internet experience to telecommunication companies, as well as clean pipe DNS solutions. It also provides OnNet Core solution to protect the operator's network against unwanted traffic and content that includes mobile threats, such as phishing, malware, and bad trackers; and OnNet Plus that provides protection for the customer with various features. The company provides IT security products for mobile and fixed network internet providers, mobile phone providers, and financial service provides under cyan digital security brand name. cyan AG was founded in 2017 and is headquartered in Munich, Germany.",https://www.cyansecurity.com
DE0005439004,Continental Aktiengesellschaft,CON.F,Common Stock,"Continental Aktiengesellschaft, a technology company, provides solutions for vehicles, machines, traffic, and transportation worldwide. It operates through four sectors: Automotive, Tires, ContiTech, and Contract Manufacturing. The company offers technology for safety, brake, chassis, motion, and motion control systems; solutions for assisted and automated driving; display and operating technologies; and audio and camera solutions for the vehicle interior, as well as intelligent information and communication technology solutions. It also provides tires for cars, trucks, buses, two-wheel, and specialist vehicles, as well as digital tire monitoring and management systems; and engages in the retail of tires. In addition, the company develops products and systems made from rubber, plastic, metal, and textiles for the energy, agriculture, and construction, as well as interior design, automotive, transportation, and railway engineering sectors; and provides contract manufacturing services. The company was formerly known as Continental-Caoutchouc- und Gutta-Percha Compagnie. Continental Aktiengesellschaft was founded in 1871 and is headquartered in Hanover, Germany.",https://www.continental.com
DE000A3H2184,Epigenomics AG,ECX.XETRA,Common Stock,"Epigenomics AG, a molecular diagnostics company, focuses on liquid biopsy for the early detection of cancer. Its lead product is Epi proColon, a blood-based test for the early detection of colorectal cancer in the United States, Europe, and China. The company's products also include hepatocellular carcinoma blood test; Epi proColon, a liquid biopsy test for detection of colorectal cancer; and Epi BiSKit, a pre-analytical tool, which provides a set of reagents for the preparation of bisulfite-converted DNA. Its research and development activities identify suitable biomarkers in human tissue and developing and patenting the corresponding in vitro diagnostic blood tests. Epigenomics AG was founded in 1998 and is headquartered in Berlin, Germany.",https://www.epigenomics.com
DE000A0Z23Q5,Adesso SE,ADN1.XETRA,Common Stock,"adesso SE, together with its subsidiaries, provides IT services in Germany, Austria, Switzerland, and internationally. It operates through two segments, IT Services and IT Solutions. The company offers industry-specific IT consulting and software development services; and distributes software products and industry-specific or industry-neutral solutions. The company provides application management, data and analytics, digital and customer experience, interaction room, IT management and organizational consulting, SmartShore, security, and other services. It serves automotive, banks/financial services, utilities, healthcare, retail, life sciences, lottery, manufacturing, media and entertainment, food, exhibition, sports, public authorities, public transportation, and insurance industries. The company was founded in 1997 and is based in Dortmund, Germany.",https://www.adesso.de
